❯ python main.py --model network2 --dataset mnist --batch_size 3 --websockets --verbose
Launching the websocket workers...
WARNING:root:Using default secret key, this is not safe and should be used only for testing and development. To define a secret key please define the environment variable SECRET_KEY.
WARNING:root:Using default secret key, this is not safe and should be used only for testing and development. To define a secret key please define the environment variable SECRET_KEY.
WARNING:root:Using default secret key, this is not safe and should be used only for testing and development. To define a secret key please define the environment variable SECRET_KEY.
LAUNCHED 27485 27487 27491
Running inference speed test
model:           network2
dataset:         mnist
batch_size:      3
         233534 function calls (226025 primitive calls) in 23.017 seconds

   Ordered by: internal time
   List reduced from 971 to 97 due to restriction <0.1>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      330    0.002    0.000    0.053    0.000 /home/pierre/.miniconda/envs/ariann-clean/lib/python3.8/site-packages/websocket/_socket.py:130(send)
       87    0.002    0.000    0.009    0.000 /home/pierre/Documents/AriaNN/Clean/PySyft/syft/generic/frameworks/hook/hook_args.py:198(hook_response)
       23    0.002    0.000    3.694    0.161 /home/pierre/Documents/AriaNN/Clean/PySyft/syft/frameworks/torch/mpc/primitives.py:144(provide_primitives)
      248    0.002    0.000    0.002    0.000 {method 'flush' of '_io.BytesIO' objects}
       37    0.002    0.000    0.002    0.000 {function _TensorBase.__radd__ at 0x7f0f4104d5e0}
       23    0.002    0.000    0.010    0.000 /home/pierre/.miniconda/envs/ariann-clean/lib/python3.8/site-packages/tblib/__init__.py:86(as_traceback)
       74    0.002    0.000    0.002    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
      521    0.002    0.000    0.005    0.000 /home/pierre/Documents/AriaNN/Clean/PySyft/syft/serde/msgpack/serde.py:492(_detail_field)
     1644    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       74    0.002    0.000    0.028    0.000 /home/pierre/.miniconda/envs/ariann-clean/lib/python3.8/site-packages/torch/serialization.py:448(load)
      801    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       74    0.002    0.000    0.022    0.000 /home/pierre/.miniconda/envs/ariann-clean/lib/python3.8/site-packages/torch/serialization.py:549(_legacy_load)



Total time (s):  5.9868
Process 27485 killed
Process 27487 killed
Process 27491 killed
